"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","age70plus",3865988,3965836,1004696,161314,462791,477901,341763,1517370,99848,41928,35380,22541
"1989:Q3","age55to69",7246501,7668660,1901779,463682,739605,1718598,1014320,1830676,422159,291749,91130,39280
"1989:Q3","age40to54",6635298,7866812,2472674,673057,631619,1688751,1144121,1256591,1231514,871209,300251,60053
"1989:Q3","ageunder40",2683368,4062423,1512803,598297,217279,600524,477014,656505,1379055,1005804,357446,15805
"1989:Q4","age70plus",4044226,4137410,1091621,173921,468883,483293,359678,1560014,93184,34380,36690,22114
"1989:Q4","age55to69",7443286,7880436,1987984,481577,775853,1743576,1037619,1853827,437150,297866,99297,39987
"1989:Q4","age40to54",6687345,7955689,2422909,665111,648686,1780218,1145160,1293604,1268344,904515,304229,59600
"1989:Q4","ageunder40",2640931,4048987,1491804,605166,220129,607034,462061,662794,1408056,1023354,369069,15632
"1990:Q1","age70plus",4052158,4140607,1083995,184382,427092,497334,366602,1581202,88448,32895,32964,22590
"1990:Q1","age55to69",7452952,7908751,1981597,487665,727540,1792693,1044271,1874983,455799,314055,99185,42559
"1990:Q1","age40to54",6777865,8080095,2491873,686551,625270,1800289,1153045,1323066,1302231,944295,297469,60466
"1990:Q1","ageunder40",2670889,4093476,1540668,608531,214681,602882,459530,667184,1422587,1043667,362702,16218
"1990:Q2","age70plus",4180642,4268811,1158251,196205,431972,516938,368015,1597430,88169,33838,32434,21898
"1990:Q2","age55to69",7584002,8058084,2049318,504480,754363,1825521,1041925,1882477,474082,328122,102712,43247
"1990:Q2","age40to54",6768192,8102327,2422873,675855,652475,1842628,1163045,1345452,1334135,977066,296613,60456
"1990:Q2","ageunder40",2650211,4089649,1506425,615972,225283,614744,459075,668150,1439438,1056385,366953,16101
"1990:Q3","age70plus",4094552,4175225,1119835,202172,332323,532444,371197,1617254,80673,28694,32481,19499
"1990:Q3","age55to69",7527942,8013443,2014244,500191,606618,1921506,1047816,1923068,485501,336227,108366,40908
"1990:Q3","age40to54",6776001,8141979,2503385,700232,573386,1806204,1172740,1386033,1365979,1009799,297603,58577
"1990:Q3","ageunder40",2632455,4093489,1548774,613651,205336,591308,459239,675180,1461033,1072017,373853,15163
"1990:Q4","age70plus",4217027,4284332,1105937,208438,376686,534766,382271,1676234,67305,14830,31889,20586
"1990:Q4","age55to69",7628113,8123751,1986142,502181,713015,1901439,1067632,1953343,495638,336954,114844,43840
"1990:Q4","age40to54",6962835,8364271,2512889,709588,624913,1927285,1164724,1424871,1401436,1044331,298285,58820
"1990:Q4","ageunder40",2643997,4131775,1566159,618913,215483,606569,448344,676306,1487778,1093139,379373,15266
"1991:Q1","age70plus",4420213,4470882,1162137,219887,447498,521209,400326,1719825,50669,2813,27376,20479
