"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","age70plus",18.9,16.8,14.6,8.5,22.6,10.7,11.5,28.8,3.2,1.9,4.5,16.4
"1989:Q3","age55to69",35.5,32.5,27.6,24.5,36.1,38.3,34.1,34.8,13.5,13.2,11.6,28.5
"1989:Q3","age40to54",32.5,33.4,35.9,35.5,30.8,37.6,38.4,23.9,39.3,39.4,38.3,43.6
"1989:Q3","ageunder40",13.1,17.2,22,31.5,10.6,13.4,16,12.5,44,45.5,45.6,11.5
"1989:Q4","age70plus",19.4,17.2,15.6,9,22.2,10.5,12,29,2.9,1.5,4.5,16.1
"1989:Q4","age55to69",35.8,32.8,28.4,25,36.7,37.8,34.5,34.5,13.6,13.2,12.3,29.1
"1989:Q4","age40to54",32.1,33.1,34.6,34.5,30.7,38.6,38.1,24.1,39.6,40,37.6,43.4
"1989:Q4","ageunder40",12.7,16.9,21.3,31.4,10.4,13.2,15.4,12.3,43.9,45.3,45.6,11.4
"1990:Q1","age70plus",19.3,17.1,15.3,9.4,21.4,10.6,12.1,29,2.7,1.4,4.2,15.9
"1990:Q1","age55to69",35.6,32.6,27.9,24.8,36.5,38.2,34.5,34.4,13.9,13.5,12.5,30
"1990:Q1","age40to54",32.3,33.4,35.1,34.9,31.3,38.4,38.1,24.3,39.8,40.4,37.5,42.6
"1990:Q1","ageunder40",12.7,16.9,21.7,30.9,10.8,12.8,15.2,12.2,43.5,44.7,45.8,11.4
"1990:Q2","age70plus",19.7,17.4,16.2,9.8,20.9,10.8,12.1,29.1,2.6,1.4,4.1,15.5
"1990:Q2","age55to69",35.8,32.9,28.7,25.3,36.5,38,34.4,34.3,14.2,13.7,12.9,30.5
"1990:Q2","age40to54",32,33,33.9,33.9,31.6,38.4,38.4,24.5,40,40.8,37.1,42.7
"1990:Q2","ageunder40",12.5,16.7,21.1,30.9,10.9,12.8,15.1,12.2,43.2,44.1,45.9,11.4
