"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","College",49.3,48.7,43,42,66.9,47.8,54.8,48.9,45,47.2,35.1,65.2
"1989:Q3","SomeCollege",19.2,19.9,21.6,22.3,16.1,18.5,18,20.4,24.2,24.6,24.5,15.7
"1989:Q3","HS",20.5,20.8,22.2,25.5,12.7,22.7,17.8,20.4,22.7,20.9,29.1,15.5
"1989:Q3","NoHS",11,10.6,13.3,10.2,4.2,10.9,9.4,10.3,8.1,7.2,11.4,3.6
"1989:Q4","College",50.1,49.5,44.2,42.3,67,48,55.7,49.7,45.1,47.2,36,65.5
"1989:Q4","SomeCollege",19.2,19.9,21.4,22.5,16.2,18.9,18.1,20.1,24.2,24.7,24.5,15.3
"1989:Q4","HS",20.1,20.4,21.6,24.7,12.6,22.6,17.5,20.1,22.7,21.1,28.5,15.5
"1989:Q4","NoHS",10.6,10.3,12.8,10.4,4.1,10.4,8.8,10,7.9,7.1,11,3.8
"1990:Q1","College",50.2,49.5,44.5,42.9,65.5,48.4,55.9,50,45.5,47.4,36.2,65.7
"1990:Q1","SomeCollege",19.3,19.9,21.4,22.3,16.9,19,18.3,20.1,24.2,24.6,24.4,15.3
"1990:Q1","HS",20,20.4,21.5,24.7,13.3,22.4,17.3,20,22.7,21.1,28.8,15.1
"1990:Q1","NoHS",10.5,10.1,12.6,10.1,4.3,10.3,8.6,9.9,7.7,6.9,10.7,3.9
"1990:Q2","College",50.4,49.8,45.6,43.2,64,48.6,55.9,49.9,46,47.8,36.9,66
"1990:Q2","SomeCollege",19.4,20.1,21.1,22.6,17.6,19.4,18.4,20.2,24.1,24.6,24.3,15.2
"1990:Q2","HS",19.8,20.2,21.1,23.9,14.1,22.1,17.1,20.1,22.5,21,28.4,14.9
"1990:Q2","NoHS",10.4,10,12.2,10.3,4.4,9.9,8.6,9.8,7.4,6.7,10.4,3.9
"1990:Q3","College",50,49.5,45.4,43.7,60.5,48.9,55.9,50.2,46.2,47.9,37.7,66.4
"1990:Q3","SomeCollege",19.5,20.1,21.3,22.2,19,18.8,18.5,20.1,24.1,24.6,24.3,14.4
"1990:Q3","HS",20.2,20.5,21.4,24.2,15.5,22,17.1,20.1,22.5,21.1,28,15.3
"1990:Q3","NoHS",10.4,10,11.8,9.9,4.9,10.3,8.5,9.6,7.3,6.5,10.1,3.9
"1990:Q4","College",50.9,50.2,45.7,44.1,62.5,49.2,56.3,51.5,46.1,47.5,38.4,66.8
"1990:Q4","SomeCollege",19.5,20.1,21.3,22.2,18.5,19.6,18.6,19.7,24.2,24.7,24.2,14.3
"1990:Q4","HS",19.7,20.1,21.2,24,14.6,21.8,17.1,19.5,22.6,21.3,27.7,14.8
"1990:Q4","NoHS",9.9,9.5,11.7,9.7,4.5,9.5,8,9.3,7.1,6.4,9.7,4.2
"1991:Q1","College",52,51.2,46.4,44.5,65.3,49.2,56.8,52.8,46,47.2,38.6,67
"1991:Q1","SomeCollege",19.6,20.2,21.2,22.4,17.6,20.7,18.8,19.4,24.2,24.9,23.9,14
"1991:Q1","HS",19.2,19.7,21.1,23.3,13.2,21.7,17,18.8,22.8,21.6,28.2,14.7
"1991:Q1","NoHS",9.2,8.9,11.2,9.8,3.9,8.4,7.4,9,7,6.3,9.3,4.3
"1991:Q2","College",51.9,51.1,46.8,44.9,63.9,49,56.9,52.7,46.4,47.5,39.3,67.4
"1991:Q2","SomeCollege",19.7,20.3,21.3,22.3,18.2,20.8,19,19.4,24.1,24.8,23.8,13.9
"1991:Q2","HS",19.4,19.8,21.1,23,13.8,22,16.9,18.9,22.7,21.5,27.9,14.4
"1991:Q2","NoHS",9.1,8.7,10.8,9.8,4,8.2,7.2,8.9,6.7,6.2,9,4.3
"1991:Q3","College",51.8,51.2,46.7,45.4,64,48.7,56.7,53,47.3,48.3,40.3,67.3
"1991:Q3","SomeCollege",19.9,20.5,21.4,22.1,18.3,21.2,19.4,19.4,24,24.7,23.6,15.2
"1991:Q3","HS",19.5,19.9,21.3,23.1,13.9,22.4,16.7,18.8,22.1,21.1,27.3,13.4
"1991:Q3","NoHS",8.8,8.5,10.6,9.4,3.9,7.7,7.1,8.8,6.5,5.9,8.8,4.1
"1991:Q4","College",52.6,52,46.9,45.8,66.2,48.9,56.8,54,48,48.9,41.3,67.3
"1991:Q4","SomeCollege",20,20.6,21.6,22.1,17.5,22,19.9,19.2,23.9,24.5,23.5,16.2
"1991:Q4","HS",19.2,19.6,21.6,22.8,12.9,22.2,16.5,18.3,21.7,20.8,26.6,12.5
"1991:Q4","NoHS",8.2,7.9,9.9,9.3,3.5,6.9,6.7,8.5,6.3,5.7,8.6,4.1
"1992:Q1","College",52.7,52.2,47.9,46.1,65.4,49.6,56.6,54.1,49.2,50.2,42.2,67.1
"1992:Q1","SomeCollege",20.1,20.6,21.4,22.2,17.9,21.9,20.3,19,23.7,24.2,23.2,16.5
"1992:Q1","HS",19.1,19.4,21.2,22.2,13.2,21.6,16.4,18.3,21.1,20.1,26.1,12.6
"1992:Q1","NoHS",8.1,7.8,9.5,9.5,3.5,6.9,6.6,8.5,6,5.5,8.4,3.8
"1992:Q2","College",52.7,52.4,48.6,46.5,64.2,50,56.4,53.9,50.2,51.2,43.4,66.9
"1992:Q2","SomeCollege",20.2,20.7,21.2,22.2,18.5,22.1,20.5,19.1,23.5,24,23,17.4
"1992:Q2","HS",19,19.2,20.8,21.7,13.7,21.2,16.5,18.4,20.5,19.6,25.3,12
"1992:Q2","NoHS",8,7.7,9.4,9.6,3.6,6.7,6.6,8.5,5.8,5.2,8.3,3.7
"1992:Q3","College",52.8,52.5,48.3,47.1,64.2,50.4,56.2,54.4,50.6,51.3,44.5,67.1
"1992:Q3","SomeCollege",20.4,20.8,21.6,21.9,18.5,22.3,21,19,23.5,24,22.8,17.4
"1992:Q3","HS",19.1,19.3,21.3,22,13.7,20.9,16.4,18.3,20.4,19.6,24.7,11.8
"1992:Q3","NoHS",7.7,7.4,8.9,9,3.5,6.4,6.4,8.4,5.6,5.1,8,3.6
"1992:Q4","College",53.2,52.7,47.8,46.2,65.7,50.7,56.3,54.7,50,51,43.2,67.3
"1992:Q4","SomeCollege",20.3,20.8,21.6,22.3,18.1,22.4,21.2,18.8,23.6,24,23.5,16.7
"1992:Q4","HS",18.9,19.2,21.5,22.6,13,20.6,16.2,18.3,20.7,19.9,25.1,12.4
"1992:Q4","NoHS",7.6,7.3,9,8.9,3.2,6.3,6.3,8.2,5.7,5.1,8.1,3.6
"1993:Q1","College",53.2,52.7,48.7,45,65.5,50,56,54.6,49.6,50.8,41.7,67.3
"1993:Q1","SomeCollege",20.3,20.8,21.2,23.3,18.3,22.3,21.1,18.9,23.7,24,24,16.7
"1993:Q1","HS",18.8,19.1,20.9,21.8,13.1,21.3,16.5,18.4,21,20.1,26.1,12.5
"1993:Q1","NoHS",7.7,7.4,9.2,9.8,3.1,6.4,6.4,8.2,5.7,5.1,8.2,3.5
"1993:Q2","College",52.9,52.4,48,44.3,65.5,49.7,56.1,54.5,49,50.3,40.3,67.6
"1993:Q2","SomeCollege",20.4,20.8,21.4,23.5,18.5,22.2,21.1,18.8,23.8,24.1,24.6,16
"1993:Q2","HS",19.1,19.4,21.4,22.6,13,21.7,16.3,18.5,21.5,20.5,26.8,13
"1993:Q2","NoHS",7.7,7.4,9.2,9.6,3,6.5,6.4,8.2,5.7,5.1,8.3,3.4
"1993:Q3","College",52.7,52.1,47.1,43.6,65.5,49.4,56.3,54.4,48.2,49.5,39.1,67.7
"1993:Q3","SomeCollege",20.4,20.9,21.7,23.7,18.6,22.1,21,18.8,24.1,24.3,25.2,15.8
"1993:Q3","HS",19.3,19.7,22,23.4,13,21.9,16.3,18.7,22,21.1,27.3,12.9
"1993:Q3","NoHS",7.6,7.4,9.2,9.2,2.9,6.6,6.4,8.2,5.7,5.1,8.3,3.6
"1993:Q4","College",52.8,52.1,46.8,43,65.9,49.3,56.5,54.6,47.7,49.1,38.5,67.9
"1993:Q4","SomeCollege",20.3,20.9,21.7,24.1,18.6,22.1,20.9,18.6,24.3,24.3,25.8,15.6
"1993:Q4","HS",19.3,19.7,22.2,23.7,12.8,22,16.3,18.7,22.3,21.4,27.2,13
"1993:Q4","NoHS",7.6,7.3,9.3,9.2,2.8,6.6,6.3,8.1,5.8,5.1,8.5,3.5
"1994:Q1","College",52.6,51.8,47.2,42.1,64.6,49.1,56.4,54.8,46.9,48.4,37,67.9
"1994:Q1","SomeCollege",20.2,20.8,21.5,24.7,19.3,21.6,20.7,18.5,24.4,24.5,26.3,15
"1994:Q1","HS",19.4,19.9,22,23.6,13.3,22.3,16.4,18.7,22.9,21.9,28.1,13.5
"1994:Q1","NoHS",7.7,7.5,9.3,9.6,2.9,7,6.5,8,5.8,5.2,8.5,3.6
"1994:Q2","College",51.9,51.1,46.9,41.5,62.7,48.5,56.1,53.9,46.5,48.2,36.4,67.8
"1994:Q2","SomeCollege",20.3,20.9,21.6,25,20.2,21.3,20.5,18.7,24.5,24.5,26.9,14.6
