"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","Silent",16004832,17254848,4587315,1060788,1675403,3476733,2200422,4254187,1250016,831773,308124,110119
"1989:Q3","BabyBoom",4348518,6177239,2260526,790241,372071,1006867,764721,982813,1828721,1354979,446501,27241
"1989:Q3","GenX",77804,131644,44111,45321,3819,2174,12076,24142,53839,23938,29583,318
"1989:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1989:Q4","Silent",16067852,17336095,4578772,1058849,1706845,3550551,2151320,4289758,1268243,850691,308159,109393
"1989:Q4","BabyBoom",4522747,6398990,2290408,813289,400295,1063570,796088,1035341,1876243,1392387,456001,27856
"1989:Q4","GenX",225190,287436,125138,53637,6411,0,57110,45141,62246,17037,45126,83
"1989:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q1","Silent",16180021,17461639,4659402,1070452,1669290,3569912,2149983,4342601,1281618,870196,299698,111724
"1990:Q1","BabyBoom",4573914,6486054,2347333,833578,325294,1120421,802162,1057267,1912141,1434174,447930,30037
"1990:Q1","GenX",199930,275236,91399,63099,0,2867,71303,46568,75306,30542,44692,72
"1990:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q2","Silent",16261988,17557827,4631695,1067528,1761766,3580025,2145689,4371125,1295839,888051,296727,111061
"1990:Q2","BabyBoom",4600975,6547712,2350975,852502,302328,1168898,798967,1074041,1946737,1466286,449964,30488
"1990:Q2","GenX",320084,413332,154196,72481,0,50908,87404,48342,93248,41074,52021,152
"1990:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q3","Silent",16207164,17514414,4677356,1081443,1580392,3535975,2161894,4477354,1307249,906630,294751,105868
"1990:Q3","BabyBoom",4552201,6536958,2403682,866380,137272,1258454,796145,1075025,1984757,1501539,454952,28266
"1990:Q3","GenX",271584,372764,105200,68424,0,57033,92952,49155,101180,38568,62599,13
"1990:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
