"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","pct99to100",3512527,3652018,535493,266190,736856,319886,837684,955909,139491,90833,26137,22521
"1989:Q3","pct80to99",8897451,10377481,3034965,698576,909848,2082487,1437336,2214269,1480030,1152837,248913,78281
"1989:Q3","pct60to80",3414054,4250403,1409167,432768,222472,1032322,280515,873158,836349,569994,246023,20332
"1989:Q3","pct40to60",2500949,2926130,999620,250973,118271,663485,245831,647949,425181,259056,160148,5977
"1989:Q3","pct20to40",1518606,1707420,669444,172203,40733,275778,128133,421129,188814,113475,70138,5201
"1989:Q3","pct00to20",587568,650279,243264,75640,23112,111815,47720,148728,62711,24496,32848,5368
"1989:Q4","pct99to100",3618769,3763253,572769,272511,741239,328472,868918,979344,144484,96432,25099,22953
"1989:Q4","pct80to99",9098603,10597619,3104299,702926,948763,2148980,1435330,2257323,1499016,1169142,253462,76412
"1989:Q4","pct60to80",3462950,4320208,1414215,437146,227119,1066611,285294,889824,857258,583701,253059,20498
"1989:Q4","pct40to60",2507416,2949027,994885,254907,126293,668218,243914,660810,441611,268687,166049,6875
"1989:Q4","pct20to40",1528724,1727370,664883,178036,44976,287651,122316,429508,198647,115729,77729,5188
"1989:Q4","pct00to20",599325,665043,243266,80249,25161,114190,48747,153430,65718,26423,33887,5408
"1990:Q1","pct99to100",3610276,3763322,587991,266512,679518,336188,888612,1004501,153046,104102,23166,25777
"1990:Q1","pct80to99",9129783,10655776,3110949,719275,900517,2215921,1430016,2279099,1525993,1198294,250254,77445
"1990:Q1","pct60to80",3513342,4378749,1453044,445935,218363,1073800,291210,896396,865407,602315,242517,20574
"1990:Q1","pct40to60",2533512,2984170,1010560,269121,125325,662152,244799,672214,450658,280886,162099,7673
"1990:Q1","pct20to40",1555435,1756477,681306,182495,46814,290776,121145,433940,201042,119569,76097,5376
"1990:Q1","pct00to20",611515,684435,254284,83791,24047,114362,47665,160286,72920,29745,38186,4988
"1990:Q2","pct99to100",3729647,3889863,615370,272855,714536,353692,902827,1030582,160216,111454,22032,26729
"1990:Q2","pct80to99",9212378,10761155,3151390,722542,915635,2267162,1425748,2278678,1548778,1222206,250632,75939
"1990:Q2","pct60to80",3529663,4407842,1443916,449518,232192,1090510,293030,898677,878179,615550,242112,20516
"1990:Q2","pct40to60",2531811,2994468,999137,271687,127001,671077,243830,681737,462657,290326,164003,8328
"1990:Q2","pct20to40",1565130,1773663,673549,188280,52321,298960,121856,438696,208533,123015,80111,5407
"1990:Q2","pct00to20",614419,691880,253505,87629,22408,118431,44768,165139,77461,32860,39821,4781
"1990:Q3","pct99to100",3609979,3772359,606270,260394,555577,356422,917996,1075700,162380,117527,20841,24013
"1990:Q3","pct80to99",9151225,10714465,3118482,734489,772378,2362819,1426409,2299888,1563239,1240085,252861,70294
"1990:Q3","pct60to80",3509637,4403343,1469640,454431,201892,1072091,297894,907396,893707,628737,244442,20527
"1990:Q3","pct40to60",2541176,3017376,1016429,286241,118133,650061,245423,701088,476200,299728,167323,9149
"1990:Q3","pct20to40",1576594,1792650,695050,190178,50334,294835,118418,443835,216055,125557,85324,5174
"1990:Q3","pct00to20",642340,723944,280366,90514,19350,115234,44851,173628,81604,35102,41511,4990
"1990:Q4","pct99to100",3703552,3871712,613893,255752,613223,362366,928378,1098101,168160,122053,19305,26803
"1990:Q4","pct80to99",9315047,10893162,3083029,744818,883801,2400330,1419111,2362072,1578114,1251052,255706,71357
"1990:Q4","pct60to80",3610993,4520539,1480770,459339,217982,1123757,307969,930723,909546,643104,245764,20677
"1990:Q4","pct40to60",2570631,3060061,1014020,293967,134059,657463,250028,710523,489430,309781,169832,9816
"1990:Q4","pct20to40",1593234,1814980,699784,193892,57010,308387,106216,449690,221747,126995,89501,5250
"1990:Q4","pct00to20",658515,743676,279631,91351,24022,117756,51271,179645,85162,36270,44283,4609
"1991:Q1","pct99to100",3814143,3986666,625349,260507,700901,367681,944083,1088145,172523,126775,17229,28519
"1991:Q1","pct80to99",9549853,11134558,3111138,751577,1047918,2407393,1398279,2418253,1584705,1261480,251970,71255
"1991:Q1","pct60to80",3725396,4635332,1470247,464337,239280,1194577,322449,944443,909937,655823,233152,20962
"1991:Q1","pct40to60",2608501,3102825,1010205,297458,156098,673915,255268,709881,494324,319029,164430,10865
"1991:Q1","pct20to40",1623419,1843634,699851,200060,64845,329856,95764,453256,220215,128487,86220,5508
"1991:Q1","pct00to20",687723,778796,296059,93889,31197,122635,57341,177674,91073,37559,49206,4308
"1991:Q2","pct99to100",3813058,3992197,627824,256414,687613,380750,949534,1090062,179138,134056,15930,29153
"1991:Q2","pct80to99",9542082,11147786,3111701,756984,1037811,2460907,1384794,2395588,1605704,1285272,251165,69266
"1991:Q2","pct60to80",3724201,4644250,1473178,466808,242107,1202717,322881,936559,920049,669545,229738,20766
"1991:Q2","pct40to60",2618149,3122695,1014153,304065,157719,680163,253273,713323,504546,328732,164540,11274
"1991:Q2","pct20to40",1643873,1869554,708161,203455,69007,342668,94072,452191,225681,131885,88447,5349
"1991:Q2","pct00to20",710041,806145,316196,95981,30242,127028,55820,180878,96105,40622,51486,3996
"1991:Q3","pct99to100",3849217,4040936,624287,244815,740125,394459,949120,1088130,191719,140894,15373,35453
"1991:Q3","pct80to99",9579097,11198126,3070626,770388,1107672,2499356,1352273,2397812,1619029,1297101,248571,73357
"1991:Q3","pct60to80",3815411,4731220,1501346,471876,258604,1231877,330837,936680,915808,667641,227917,20250
"1991:Q3","pct40to60",2668307,3176297,1027483,315025,167167,694779,255604,716237,507990,330299,166274,11417
"1991:Q3","pct20to40",1686356,1919469,726734,205880,75980,361196,94893,454786,233113,134585,92956,5572
"1991:Q3","pct00to20",733386,831515,333199,95458,31853,133125,54326,183554,98129,43449,51409,3272
"1991:Q4","pct99to100",3992242,4197500,615640,241337,890222,401296,957457,1091547,205258,148459,14605,42194
"1991:Q4","pct80to99",9821770,11469576,3083251,776499,1311043,2536572,1312332,2449878,1647806,1319962,249335,78509
"1991:Q4","pct60to80",3910099,4837145,1499048,474426,293361,1289954,345495,934860,927046,676600,230468,19978
"1991:Q4","pct40to60",2715344,3234652,1038457,319694,190147,705890,260217,720247,519307,337433,170191,11683
"1991:Q4","pct20to40",1716061,1959331,740594,209615,86524,377580,92613,452403,243270,138145,99219,5906
"1991:Q4","pct00to20",777278,878248,372122,95816,38630,136545,55716,179419,100970,46757,51763,2451
"1992:Q1","pct99to100",3982111,4195409,645898,241784,847564,407738,965798,1086626,213298,157347,13982,41970
"1992:Q1","pct80to99",9888114,11547568,3136999,777060,1293749,2632104,1295879,2411778,1659454,1343691,241114,74649
"1992:Q1","pct60to80",3954402,4867864,1507867,475376,289342,1309192,357180,928907,913463,674457,219313,19693
"1992:Q1","pct40to60",2714238,3232712,1037473,323978,193160,695834,265928,716339,518474,338592,167117,12766
"1992:Q1","pct20to40",1708184,1956436,740429,214132,89800,375861,88520,447695,248252,142543,99671,6038
"1992:Q1","pct00to20",781671,887739,376961,99765,38730,134284,57134,180865,106068,51092,52157,2820
"1992:Q2","pct99to100",3995861,4221057,671677,240602,842938,422362,961414,1082065,225196,164939,13517,46741
"1992:Q2","pct80to99",9933336,11609219,3148924,782011,1289813,2718884,1278482,2391106,1675883,1361729,237238,76916
"1992:Q2","pct60to80",3986391,4895388,1516504,478377,294704,1331434,359579,914791,908997,673223,216504,19270
"1992:Q2","pct40to60",2719413,3241684,1031172,330179,195290,699090,266603,719350,522271,340233,168795,13243
"1992:Q2","pct20to40",1709782,1966764,738668,219003,95005,381048,85294,447744,256982,146030,104623,6329
"1992:Q2","pct00to20",775096,883765,371589,102906,37658,136017,56859,178735,108669,54541,51656,2471
"1992:Q3","pct99to100",4016494,4248361,652024,224028,878903,434418,971891,1087097,231867,171613,12348,47906
"1992:Q3","pct80to99",10028394,11725017,3117937,797514,1349232,2804324,1255976,2400034,1696623,1382905,238154,75564
"1992:Q3","pct60to80",4080439,5002335,1548904,483585,307248,1369273,373192,920133,921897,685468,217227,19202
"1992:Q3","pct40to60",2775161,3309538,1059633,343830,204310,704745,272687,724332,534377,349019,171472,13885
"1992:Q3","pct20to40",1747183,2012073,769766,220798,101644,389890,82148,447827,264889,149086,109542,6261
"1992:Q3","pct00to20",821205,933882,415723,101786,39370,137926,57808,181269,112677,57237,53189,2251
"1992:Q4","pct99to100",4181639,4415061,664977,226528,1014416,435418,969340,1104381,233421,174083,12579,46759
"1992:Q4","pct80to99",10267392,11987787,3129945,805368,1521869,2890299,1237416,2402890,1720395,1397059,248067,75269
"1992:Q4","pct60to80",4206998,5149492,1581913,491273,340375,1424033,376760,935137,942494,700249,222331,19915
"1992:Q4","pct40to60",2804165,3347555,1069983,345460,220512,721188,268596,721817,543390,353863,175477,14049
"1992:Q4","pct20to40",1778242,2052770,780480,222163,110129,397063,89728,453208,274528,155420,111597,7512
"1992:Q4","pct00to20",830059,947022,415683,102463,45407,138233,66207,179029,116964,59679,54718,2566
"1993:Q1","pct99to100",4335330,4572700,716865,251573,1057017,443870,970185,1133190,237370,175323,12440,49607
"1993:Q1","pct80to99",10446654,12174686,3218335,793520,1576065,2934041,1252433,2400293,1728032,1398635,249928,79469
"1993:Q1","pct60to80",4218226,5154638,1554240,492871,356116,1451718,382426,917268,936412,704869,211134,20410
"1993:Q1","pct40to60",2790067,3327834,1036449,332867,225425,751822,269731,711542,537768,353490,170407,13871
"1993:Q1","pct20to40",1778183,2052707,749170,227376,115431,418030,89505,453196,274524,160547,105011,8967
"1993:Q1","pct00to20",814782,936972,378997,108194,47161,145453,79265,177903,122191,61326,58343,2522
"1993:Q2","pct99to100",4364463,4602648,714502,250753,1066376,444844,981938,1144236,238185,177856,12276,48053
"1993:Q2","pct80to99",10521569,12274253,3222055,805448,1614439,2991277,1256913,2384120,1752684,1415380,258571,78733
"1993:Q2","pct60to80",4273887,5229892,1587601,502356,364102,1474525,385762,915546,956005,723484,211398,21123
"1993:Q2","pct40to60",2821472,3367063,1055533,339188,230655,767228,265971,708488,545591,360376,171300,13915
"1993:Q2","pct20to40",1817360,2098038,768139,228665,119173,428962,95472,457627,280678,166969,103695,10014
"1993:Q2","pct00to20",838939,966935,396074,109842,49544,147911,88403,175160,127995,63763,61421,2811
"1993:Q3","pct99to100",4445457,4688529,709570,247631,1125014,448833,990991,1166489,243072,179324,12020,51728
"1993:Q3","pct80to99",10629922,12412329,3211296,819671,1689667,3047266,1270549,2373880,1782407,1427370,270426,84611
"1993:Q3","pct60to80",4349643,5332635,1629276,512336,382816,1501621,387382,919204,982993,744579,216611,21803
"1993:Q3","pct40to60",2860180,3416906,1077978,346376,237670,787169,262313,705401,556727,368627,174652,13448
"1993:Q3","pct20to40",1860667,2149033,790885,229559,125016,441276,98092,464204,288366,172665,104428,11273
"1993:Q3","pct00to20",868498,1000849,413128,110307,52072,151426,99487,174430,132351,65452,64532,2367
"1993:Q4","pct99to100",4554184,4802038,722264,253743,1180181,447854,1003175,1194822,247853,181284,12500,54069
"1993:Q4","pct80to99",10787972,12599602,3241462,829481,1776594,3095136,1282561,2374368,1811630,1438764,284455,88411
"1993:Q4","pct60to80",4430328,5442110,1653058,522089,399989,1531385,392379,943209,1011782,759454,229987,22342
"1993:Q4","pct40to60",2878529,3448563,1087004,350351,246943,800047,260162,704055,570034,373592,183370,13071
"1993:Q4","pct20to40",1883256,2185288,799449,232790,130503,448894,99012,474639,302032,178566,111012,12454
"1993:Q4","pct00to20",896972,1031523,418287,113623,55741,152576,112496,178799,134551,67518,64845,2188
"1994:Q1","pct99to100",4635103,4882269,755855,268383,1102145,450027,1019744,1286115,247166,182000,12021,53145
"1994:Q1","pct80to99",10906171,12728594,3313595,826891,1703851,3164660,1311138,2408458,1822423,1442768,290886,88768
"1994:Q1","pct60to80",4392115,5414045,1647879,526868,390964,1528130,395570,924634,1021930,773972,224650,23309
"1994:Q1","pct40to60",2863368,3436104,1074653,347544,241623,807944,258085,706256,572736,378433,180864,13439
"1994:Q1","pct20to40",1878079,2181554,787137,236706,130930,453676,101800,471306,303476,183558,106214,13704
"1994:Q1","pct00to20",897298,1037816,404895,119645,54137,153787,124493,180858,140518,68739,69241,2539
"1994:Q2","pct99to100",4735844,4985658,774134,273567,1085542,464154,1038921,1349341,249813,184609,12486,52718
"1994:Q2","pct80to99",10890821,12740809,3342331,835969,1643783,3216929,1346641,2355156,1849988,1457614,302992,89383
"1994:Q2","pct60to80",4403217,5450148,1675109,535860,397482,1517383,390941,933373,1046931,788214,234501,24215
"1994:Q2","pct40to60",2872360,3456968,1081508,351644,232957,832517,251241,707100,584608,383047,187709,13853
"1994:Q2","pct20to40",1915010,2231011,793871,239573,134630,466777,112382,483778,316002,189892,111105,15004
"1994:Q2","pct00to20",914336,1058289,403215,122936,50025,160626,130139,191350,143953,71245,69788,2920
"1994:Q3","pct99to100",4832481,5083270,777369,271842,1116179,475092,1043610,1399178,250790,187016,12956,50818
"1994:Q3","pct80to99",10957659,12834515,3325636,852642,1662130,3268396,1375687,2350023,1876855,1472059,316627,88170
"1994:Q3","pct60to80",4467009,5542970,1721867,547222,412118,1537353,385265,939145,1075961,803855,247042,25064
"1994:Q3","pct40to60",2904416,3502924,1099989,359703,233091,858855,244461,706826,598508,388405,195946,14157
"1994:Q3","pct20to40",1954735,2284247,813615,241440,139820,479969,114714,494689,329511,196113,117273,16125
"1994:Q3","pct00to20",941107,1088152,409062,123651,49540,166245,141209,198445,147045,73602,70109,3334
