"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","pct99to100",17.2,15.5,7.8,14,35.9,7.1,28.1,18.2,4.5,4.1,3.3,16.4
"1989:Q3","pct80to99",43.5,44,44,36.8,44.4,46.4,48.3,42.1,47.2,52.1,31.7,56.9
"1989:Q3","pct60to80",16.7,18,20.4,22.8,10.8,23,9.4,16.6,26.7,25.8,31.4,14.8
"1989:Q3","pct40to60",12.2,12.4,14.5,13.2,5.8,14.8,8.3,12.3,13.6,11.7,20.4,4.3
"1989:Q3","pct20to40",7.4,7.2,9.7,9.1,2,6.1,4.3,8,6,5.1,8.9,3.8
"1989:Q3","pct00to20",2.9,2.8,3.5,4,1.1,2.5,1.6,2.8,2,1.1,4.2,3.9
"1989:Q4","pct99to100",17.4,15.7,8.2,14.2,35.1,7.1,28.9,18.2,4.5,4.3,3.1,16.7
"1989:Q4","pct80to99",43.7,44.1,44.4,36.5,44.9,46.6,47.8,42,46.7,51.7,31.3,55.6
"1989:Q4","pct60to80",16.6,18,20.2,22.7,10.7,23.1,9.5,16.6,26.7,25.8,31.3,14.9
"1989:Q4","pct40to60",12,12.3,14.2,13.2,6,14.5,8.1,12.3,13.8,11.9,20.5,5
"1989:Q4","pct20to40",7.3,7.2,9.5,9.2,2.1,6.2,4.1,8,6.2,5.1,9.6,3.8
"1989:Q4","pct00to20",2.9,2.8,3.5,4.2,1.2,2.5,1.6,2.9,2,1.2,4.2,3.9
"1990:Q1","pct99to100",17.2,15.5,8.3,13.5,34.1,7.2,29.4,18.4,4.7,4.5,2.9,18.2
"1990:Q1","pct80to99",43.6,44,43.8,36.6,45.1,47.2,47.3,41.8,46.7,51.3,31.6,54.6
"1990:Q1","pct60to80",16.8,18.1,20.5,22.7,10.9,22.9,9.6,16.5,26.5,25.8,30.6,14.5
"1990:Q1","pct40to60",12.1,12.3,14.2,13.7,6.3,14.1,8.1,12.3,13.8,12,20.5,5.4
"1990:Q1","pct20to40",7.4,7.3,9.6,9.3,2.3,6.2,4,8,6.1,5.1,9.6,3.8
"1990:Q1","pct00to20",2.9,2.8,3.6,4.3,1.2,2.4,1.6,2.9,2.2,1.3,4.8,3.5
"1990:Q2","pct99to100",17.6,15.9,8.6,13.7,34.6,7.4,29.8,18.8,4.8,4.7,2.8,18.9
"1990:Q2","pct80to99",43.5,43.9,44.2,36.3,44.4,47.2,47,41.5,46.4,51,31.4,53.6
"1990:Q2","pct60to80",16.7,18,20.2,22.6,11.2,22.7,9.7,16.4,26.3,25.7,30.3,14.5
"1990:Q2","pct40to60",12,12.2,14,13.6,6.2,14,8,12.4,13.9,12.1,20.5,5.9
"1990:Q2","pct20to40",7.4,7.2,9.4,9.4,2.5,6.2,4,8,6.3,5.1,10,3.8
"1990:Q2","pct00to20",2.9,2.8,3.6,4.4,1.1,2.5,1.5,3,2.3,1.4,5,3.4
"1990:Q3","pct99to100",17.2,15.4,8.4,12.9,32.3,7.3,30.1,19.2,4.8,4.8,2.6,17.9
"1990:Q3","pct80to99",43.5,43.9,43.4,36.4,45,48.7,46.8,41.1,46.1,50.7,31.1,52.4
"1990:Q3","pct60to80",16.7,18,20.5,22.5,11.8,22.1,9.8,16.2,26.3,25.7,30.1,15.3
"1990:Q3","pct40to60",12.1,12.4,14.1,14.2,6.9,13.4,8,12.5,14,12.3,20.6,6.8
"1990:Q3","pct20to40",7.5,7.3,9.7,9.4,2.9,6.1,3.9,7.9,6.4,5.1,10.5,3.9
