"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","White",90.6,89.4,87,86.7,96.2,87.8,88.3,93.1,81.9,82.6,79,86.7
"1989:Q3","Black",3.8,4.1,4.9,5.8,0.8,7.3,1.3,2.6,5.9,4.7,10,1.1
"1989:Q3","Hispanic",2.1,2.6,3.8,3.5,0.7,2.5,1.9,2,6.4,6.4,6,9
"1989:Q3","Other",3.5,3.8,4.3,3.9,2.3,2.5,8.5,2.3,5.8,6.2,5,3.2
"1989:Q4","White",90.1,89,86.2,85.7,96,87.6,88,92.9,82,83,78.6,86.4
"1989:Q4","Black",3.9,4.2,5.1,6.3,0.9,7.3,1.4,2.6,6,4.9,10.1,1.4
"1989:Q4","Hispanic",2.1,2.7,4,3.6,0.7,2.5,2,2,6.4,6.3,6.1,8.5
"1989:Q4","Other",3.9,4.1,4.8,4.3,2.4,2.6,8.6,2.6,5.6,5.9,5.2,3.7
"1990:Q1","White",90.1,89.1,86.9,85.8,96.5,87.1,87.9,92.7,82.3,83,79.4,86.7
"1990:Q1","Black",4,4.2,4.9,6.2,0.9,7.5,1.5,2.6,6,5,9.7,1.7
"1990:Q1","Hispanic",2.1,2.6,3.8,3.7,0.7,2.5,2,2,6.3,6.3,6,7.8
"1990:Q1","Other",3.8,4.1,4.4,4.3,1.9,3,8.5,2.8,5.5,5.8,4.9,3.9
"1990:Q2","White",89.7,88.7,86.2,84.9,96.8,86.6,88,92.6,82.3,83,79.4,86.5
"1990:Q2","Black",4.1,4.3,5.1,6.6,0.8,7.6,1.6,2.5,6,5.1,9.6,2
"1990:Q2","Hispanic",2.1,2.7,3.9,3.7,0.7,2.5,1.9,2,6.2,6.1,6,7.2
"1990:Q2","Other",4.1,4.3,4.8,4.7,1.7,3.4,8.5,2.9,5.5,5.7,4.9,4.3
"1990:Q3","White",89.7,88.7,86.9,85.2,98,85.8,87.8,92.4,82.4,83.3,79.3,85.6
"1990:Q3","Black",4.1,4.3,5,6.4,0.8,7.7,1.6,2.4,6.1,5.2,9.6,2.2
"1990:Q3","Hispanic",2.1,2.7,3.7,3.9,0.8,2.5,2,2.1,6.1,6.1,6.1,7
"1990:Q3","Other",4.1,4.3,4.5,4.6,0.4,4,8.6,3,5.3,5.5,5,5.2
"1990:Q4","White",89.8,88.8,87.6,85.3,97.1,85.9,86.9,92.3,82.8,83.7,79.4,85.9
"1990:Q4","Black",4,4.3,4.8,6.3,0.9,7.8,1.9,2.5,6.2,5.3,9.5,2.4
"1990:Q4","Hispanic",2.1,2.6,3.5,3.8,0.7,2.5,2.4,1.9,6,6,6.1,6.3
"1990:Q4","Other",4.1,4.2,4,4.6,1.2,3.8,8.9,3.4,5,5,5,5.4
"1991:Q1","White",89.3,88.5,86.8,84.8,95.9,86.5,86.1,92.1,83.4,84.2,80.5,85.9
"1991:Q1","Black",4.2,4.5,5,6.6,1.1,7.8,2.2,2.6,6.1,5.4,9,2.7
"1991:Q1","Hispanic",2.1,2.6,3.7,3.7,0.7,2.4,2.7,1.7,5.9,5.9,6.1,5.7
"1991:Q1","Other",4.4,4.4,4.5,4.9,2.3,3.3,8.9,3.6,4.6,4.5,4.5,5.7
"1991:Q2","White",89.2,88.4,86.6,84.7,96.2,86.5,86.2,92,83.5,84.2,80.8,85.7
"1991:Q2","Black",4.2,4.5,5,6.6,1.1,7.7,2.3,2.6,6.2,5.5,8.8,3
"1991:Q2","Hispanic",2.1,2.6,3.7,3.7,0.7,2.3,2.7,1.7,5.8,5.8,6.1,5.1
"1991:Q2","Other",4.5,4.5,4.7,5,2,3.5,8.9,3.7,4.5,4.5,4.3,6.1
"1991:Q3","White",89.6,88.8,87.6,85.3,96,86.7,86.3,91.9,83.6,84.3,80.6,86.6
"1991:Q3","Black",4.1,4.4,4.8,6.3,1.1,7.6,2.4,2.6,6.2,5.4,9,3.3
"1991:Q3","Hispanic",2,2.5,3.4,3.6,0.7,2.2,2.7,1.7,5.7,5.6,6,4.2
"1991:Q3","Other",4.3,4.3,4.1,4.8,2.3,3.4,8.5,3.9,4.6,4.6,4.3,5.9
"1991:Q4","White",89.4,88.6,86.9,85.3,95,86.9,86.3,91.7,83.6,84.3,80.3,87.5
"1991:Q4","Black",4.2,4.5,5,6.3,1.2,7.7,2.7,2.7,6.2,5.5,9.2,3.5
"1991:Q4","Hispanic",1.9,2.4,3.5,3.5,0.6,2.2,2.8,1.6,5.5,5.5,6.1,3.4
"1991:Q4","Other",4.5,4.5,4.7,4.8,3.2,3.2,8.2,4.1,4.7,4.7,4.4,5.6
"1992:Q1","White",89,88.2,86.3,84.7,95.1,86.1,86,91.8,83.5,84.1,80.7,86.9
"1992:Q1","Black",4.4,4.6,5.1,6.6,1.2,8,2.9,2.6,6.2,5.4,9.3,3.9
"1992:Q1","Hispanic",2,2.5,3.6,3.6,0.6,2.2,3,1.5,5.4,5.3,6,2.8
"1992:Q1","Other",4.6,4.7,5,5.1,3,3.7,8.1,4.1,5,5.2,4,6.3
"1992:Q2","White",88.8,88.1,86.5,84.3,95.4,85.5,85.8,91.7,83.5,84,80.6,87.3
"1992:Q2","Black",4.5,4.7,5.1,6.8,1.2,8.1,3,2.6,6.2,5.4,9.6,4.1
"1992:Q2","Hispanic",2.1,2.5,3.6,3.6,0.6,2.3,3.1,1.5,5.2,5.2,5.9,2.2
"1992:Q2","Other",4.7,4.8,4.9,5.3,2.8,4.1,8.1,4.2,5.1,5.4,3.9,6.4
"1992:Q3","White",88.9,88.1,87,85.1,95.2,85.2,85.6,91.5,83.5,84.1,80.6,87.2
