"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","College",10069957,11479048,2960443,796768,1373266,2145459,1631276,2571836,1409090,1044507,274882,89701
"1989:Q3","SomeCollege",3927113,4684463,1490416,423508,330402,831268,537196,1071673,757350,543546,192185,21620
"1989:Q3","HS",4182626,4894582,1527731,482848,261073,1017869,529726,1075336,711956,462511,228101,21344
"1989:Q3","NoHS",2251459,2505638,913361,193227,86553,491178,279021,542298,254179,160126,89039,5014
"1989:Q4","College",10432985,11880620,3090107,815260,1415853,2217074,1672895,2669432,1447635,1066251,291482,89903
"1989:Q4","SomeCollege",3992339,4769255,1493600,434132,343440,874003,542578,1081502,776916,557362,198603,20951
"1989:Q4","HS",4177110,4904804,1513664,475567,267337,1043829,524606,1079801,727694,476186,230253,21255
"1989:Q4","NoHS",2213354,2467842,896946,200817,86921,479216,264439,539503,254488,160317,88947,5224
"1990:Q1","College",10509133,11996219,3161093,843624,1306503,2270210,1688966,2725823,1487085,1107474,286432,93180
"1990:Q1","SomeCollege",4039942,4829561,1516979,439597,337793,890345,551864,1092983,789618,574798,193115,21705
"1990:Q1","HS",4199956,4941580,1528339,486083,264832,1051242,521856,1089228,741623,492219,228033,21372
"1990:Q1","NoHS",2204833,2455570,891722,197825,85457,481402,260762,538402,250738,160421,84741,5576
"1990:Q2","College",10669228,12202272,3251038,860643,1320668,2332100,1694540,2743282,1533043,1145215,294330,93498
"1990:Q2","SomeCollege",4115884,4919757,1508794,449882,362663,929795,558255,1110368,803874,588136,194173,21565
"1990:Q2","HS",4204755,4955587,1506632,476435,290531,1060746,518555,1102688,750832,502654,227097,21081
"1990:Q2","NoHS",2193180,2441255,870403,205551,90232,477190,260710,537169,248075,159406,83112,5557
"1990:Q3","College",10514904,12080917,3265703,880526,1039959,2374514,1706881,2813333,1566013,1170986,305943,89084
"1990:Q3","SomeCollege",4091622,4909526,1534206,448170,327170,911266,565186,1123527,817904,601524,197096,19284
"1990:Q3","HS",4240137,5003122,1535794,488432,266435,1067994,520301,1124165,762985,515066,227414,20505
"1990:Q3","NoHS",2184287,2430572,850535,199117,84100,497687,258623,540509,246284,159161,81849,5274
