"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","White",18507570,21073610,5992895,1643610,1973558,3936358,2630012,4897177,2566040,1826715,619891,119435
"1989:Q3","Black",779379,964042,338423,110867,16774,325279,38225,134474,184664,104554,78549,1561
"1989:Q3","Hispanic",419183,620470,262990,67253,14437,112850,56120,106820,201287,142169,46772,12345
"1989:Q3","Other",725023,905608,297645,74620,46525,111286,252861,122672,180585,137252,38995,4339
"1989:Q4","White",18751641,21381640,6027422,1651329,2029516,4042944,2643779,4986651,2629999,1875015,636310,118674
"1989:Q4","Black",821529,1014509,354884,120994,18832,337332,43476,138991,192980,109623,81470,1887
"1989:Q4","Hispanic",438051,641947,277948,69767,14645,114115,59425,106047,203896,143073,49097,11726
"1989:Q4","Other",804567,984425,334063,83685,50558,119730,257839,138550,179859,132404,42409,5046
"1990:Q1","White",18882780,21572652,6166505,1687037,1924363,4086967,2658693,5049086,2689872,1937408,629476,122988
"1990:Q1","Black",830481,1026178,350808,121586,17679,350151,46637,139317,195697,116642,76682,2373
"1990:Q1","Hispanic",436616,641278,269091,73160,14349,116385,60496,107797,204662,146009,47659,10995
"1990:Q1","Other",803987,982821,311728,85345,38193,139697,257622,150236,178834,134853,38503,5478
"1990:Q2","White",19003356,21749770,6150742,1692381,1997339,4155051,2669606,5084650,2746414,1989245,634540,122629
"1990:Q2","Black",860288,1061959,363702,131244,16649,364003,47193,139168,201671,121878,77005,2789
"1990:Q2","Hispanic",452211,657866,280162,74563,14589,119231,58852,110469,205655,147205,48283,10166
"1990:Q2","Other",867192,1049276,342261,94322,35518,161545,256409,159221,182085,137083,38884,6117
"1990:Q3","White",18865233,21662248,6241623,1717753,1684133,4162288,2678049,5178401,2797014,2037736,644396,114882
"1990:Q3","Black",852280,1060195,356166,128911,13172,375237,49602,137106,207915,126882,78103,2930
"1990:Q3","Hispanic",451466,658401,267883,77740,13648,121917,62009,115204,206935,148045,49536,9353
"1990:Q3","Other",861971,1043293,320566,91842,6711,192020,261331,170824,181322,134073,40267,6982
